Date,Adj Close,Close,High,Low,Open,Volume
2023-11-13,155.25,155.25,212.5,141.75,212.5,53824
2023-11-20,151.25,151.25,165.4750061,105.5,164.25,44188
2023-11-27,153.0,153.0,160.75,131.25,148.875,57668
2023-12-04,149.0,149.0,159.875,144.0,155.5,48760
2023-12-11,108.75,108.75,152.75,105.5,147.0,52980
2023-12-18,118.75,118.75,118.75,80.0,100.0,55296
2023-12-25,116.75,116.75,122.75,110.0,120.0,36572
2024-01-01,103.5,103.5,117.5,96.25,117.25,31088
2024-01-08,85.25,85.25,102.2249985,66.75,99.25,67388
2024-01-15,83.75,83.75,90.5,76.25,84.75,39704
2024-01-22,81.0,81.0,85.25,65.02500153,84.5,54288
2024-01-29,70.5,70.5,83.5,68.75,82.25,51824
2024-02-05,40.25,40.25,73.65000153,38.79999924,71.75,52044
2024-02-12,52.0,52.0,52.5,39.5,41.25,60804
2024-02-19,31.5,31.5,53.75,29.25,53.0,57464
2024-02-26,30.75,30.75,33.0,27.5,31.25,17828
2024-03-04,32.5,32.5,38.75,27.5,30.25,15104
2024-03-11,32.5,32.5,34.5,29.25,32.5,5304
2024-03-18,31.25,31.25,37.5,30.0,31.5,5904
2024-03-25,30.5,30.5,34.0,29.25,32.5,2064
2024-04-01,35.0,35.0,38.25,28.75,30.0,3640
2024-04-08,38.0,38.0,44.5,34.92499924,34.92499924,4332
2024-04-15,31.5,31.5,38.25,30.5,38.0,3068
2024-04-22,25.0,25.0,37.0,24.45000076,37.0,7624
2024-04-29,18.5,18.5,25.25,18.0,25.0,17720
2024-05-06,21.0,21.0,21.75,17.0,20.0,5404
2024-05-13,18.5,18.5,20.04999924,17.0,18.52499962,2752
2024-05-20,18.72500038,18.72500038,21.5,17.5,19.42499924,3916
2024-05-27,15.0,15.0,19.82500076,15.0,19.5,2980
2024-06-03,13.75,13.75,18.20000076,13.0,17.42499924,7232
2024-06-10,30.0,30.0,63.25,12.5,13.75,4545956
2024-06-17,30.75,30.75,31.25,22.75,27.75,57704
2024-06-24,19.125,19.125,30.75,17.5,29.25,45408
2024-07-01,16.25,16.25,18.25,14.27499962,16.67499924,26752
2024-07-08,14.5,14.5,16.54999924,14.5,15.77499962,21864
2024-07-15,16.75,16.75,17.0,14.5,15.35000038,13844
2024-07-22,15.47500038,15.47500038,17.0,13.39999962,17.0,191976
2024-07-29,10.32499981,10.32499981,16.54999924,10.32499981,15.27499962,140972
2024-08-05,11.0,11.0,12.25,10.0,11.0,117320
2024-08-12,10.5,10.5,11.0,9.5,10.67500019,32016
2024-08-19,10.0,10.0,11.5,10.0,10.94999981,19868
2024-08-26,9.824999809,9.824999809,10.875,9.425000191,10.05000019,21740
2024-09-02,7.724999905,7.724999905,10.0,7.5,10.0,15508
2024-09-09,7.5,7.5,10.22500038,7.425000191,7.75,86756
2024-09-16,6.800000191,6.800000191,7.75,6.275000095,7.75,29452
2024-09-23,8.199999809,8.199999809,8.75,6.650000095,7.0,116864
2024-09-30,8.449999809,8.449999809,8.824999809,7.125,7.949999809,129840
2024-10-07,7.375,7.375,8.5,7.025000095,8.375,49052
2024-10-14,6.675000191,6.675000191,8.350000381,5.775000095,7.375,957740
2024-10-21,6.5,6.5,6.974999905,6.050000191,6.675000191,33884
2024-10-28,5.275000095,5.275000095,7.0,5.050000191,6.5,50596
2024-11-04,4.900000095,4.900000095,5.400000095,4.025000095,5.275000095,128596
2024-11-11,5.150000095,5.150000095,6.5,4.775000095,5.0,677328
2024-11-18,4.375,4.375,5.75,4.0,5.5,541432
2024-11-25,4.349999905,4.349999905,4.5,4.0,4.349999905,40980
2024-12-02,4.125,4.125,4.5,3.900000095,4.25,54484
2024-12-09,4.125,4.125,4.349999905,3.775000095,4.0,76524
2024-12-16,3.599999905,3.599999905,4.150000095,3.075000048,4.150000095,57856
2024-12-23,3.825000048,3.825000048,4.199999809,3.174999952,3.950000048,49052
2024-12-30,5.0,5.0,5.900000095,3.525000095,3.900000095,205816
2025-01-06,4.625,4.625,5.699999809,3.799999952,5.050000191,264484
2025-01-13,4.849999905,4.849999905,5.0,3.75,4.474999905,140568
2025-01-20,4.275000095,4.275000095,4.675000191,3.424999952,4.675000191,33192
2025-01-27,4.125,4.125,4.75,3.799999952,4.0,43532
2025-02-03,3.974999905,3.974999905,4.099999905,3.799999952,4.0,43240
2025-02-10,4.375,4.375,4.625,3.775000095,4.025000095,47172
2025-02-17,5.400000095,5.400000095,6.349999905,4.25,4.275000095,307496
2025-02-24,6.974999905,6.974999905,7.675000191,4.699999809,5.074999809,542072
2025-03-03,5.800000191,5.800000191,7.375,5.675000191,6.800000191,111592
2025-03-10,5.324999809,5.324999809,6.074999809,4.699999809,5.625,70152
2025-03-17,4.375,4.375,5.75,4.375,5.75,158032
2025-03-24,3.400000095,3.400000095,4.875,2.75,4.875,134556
2025-03-31,2.125,2.125,4.25,2.0,3.875,91644
2025-04-07,2.125,2.125,2.125,2.125,2.125,0
2025-04-14,2.125,2.125,2.125,2.125,2.125,0
2025-04-21,2.779999971,2.779999971,2.819999933,1.620000005,1.99000001,393900
2025-04-28,2.400000095,2.400000095,2.849999905,2.160000086,2.823999882,213200
2025-05-05,2.460000038,2.460000038,2.640000105,2.0,2.309999943,395600
2025-05-12,4.300000191,4.300000191,4.760000229,2.650000095,3.069999933,1654600
2025-05-19,3.809000015,3.809000015,4.46999979,3.549999952,4.099999905,338700
2025-05-26,7.800000191,7.800000191,8.460000038,3.880000114,4.179999828,924400
2025-06-02,10.0,10.0,12.64999962,8.130000114,8.130000114,1069700
2025-06-09,11.01000023,11.01000023,12.82400036,7.815000057,10.0,560300
2025-06-16,10.51000023,10.51000023,11.79500008,8.5,11.0,775000
2025-06-23,9.31099987,9.31099987,11.65699959,9.010000229,10.80000019,569000
2025-06-30,12.0,12.0,14.31000042,9.710000038,10.0,607900
2025-07-07,10.76000023,10.76000023,12.52999973,10.0,11.52999973,518300
