Date,Adj Close,Close,High,Low,Open,Volume
2021-10-11,120.0,120.0,124.0,112.0,120.4000015,71090
2021-10-18,120.4000015,120.4000015,133.8999939,114.5,117.5999985,68960
2021-10-25,178.8999939,178.8999939,181.0,113.3000031,121.4000015,53330
2021-11-01,173.8000031,173.8000031,221.5500031,161.1000061,183.3999939,61540
2021-11-08,164.0,164.0,214.0,155.0,169.8999939,28870
2021-11-15,159.8000031,159.8000031,189.3699951,150.1000061,156.1999969,27620
2021-11-22,200.1000061,200.1000061,213.9900055,149.75,160.3000031,17140
2021-11-29,104.8000031,104.8000031,196.3999939,84.30000305,195.5,46540
2021-12-06,61.20000076,61.20000076,99.40000153,60.70000076,99.40000153,52570
2021-12-13,42.70000076,42.70000076,61.70000076,37.0,61.09999847,80130
2021-12-20,46.79999924,46.79999924,50.40000153,39.20000076,44.40000153,67750
2021-12-27,44.59999847,44.59999847,48.0,40.09999847,45.0,41550
2022-01-03,39.90000153,39.90000153,49.40000153,38.20000076,44.70000076,33600
2022-01-10,31.70000076,31.70000076,40.09999847,30.65999985,39.5,62330
2022-01-17,31.20000076,31.20000076,36.09999847,29.79999924,32.09999847,80250
2022-01-24,28.89999962,28.89999962,32.29999924,26.29999924,30.0,38050
2022-01-31,32.09999847,32.09999847,38.59999847,29.67000008,29.67000008,30510
2022-02-07,27.89999962,27.89999962,34.50999832,27.60000038,32.0,33940
2022-02-14,24.89999962,24.89999962,30.0,24.20000076,27.93000031,17480
2022-02-21,25.89999962,25.89999962,29.39999962,22.19000053,25.20000076,21260
2022-02-28,29.10000038,29.10000038,33.29999924,25.70000076,27.29999924,24710
2022-03-07,22.89999962,22.89999962,29.89999962,21.60000038,28.60000038,14870
2022-03-14,31.39999962,31.39999962,33.59999847,21.70000076,23.70000076,48960
2022-03-21,24.5,24.5,31.0,23.0,31.0,26090
2022-03-28,23.5,23.5,25.39999962,21.45000076,25.39999962,22830
2022-04-04,27.5,27.5,30.89999962,21.29999924,22.79999924,59840
2022-04-11,29.29999924,29.29999924,36.59999847,24.29999924,28.0,89130
