Date,Adj Close,Close,High,Low,Open,Volume
2021-11-01,15.64999962,15.64999962,17.87999916,15.14999962,16.0,1759600
2021-11-08,11.5,11.5,15.35000038,11.06000042,15.0,498000
2021-11-15,8.710000038,8.710000038,12.46000004,8.659999847,12.18000031,317900
2021-11-22,7.610000134,7.610000134,9.194999695,6.75,8.869999886,239900
2021-11-29,10.89999962,10.89999962,12.57999992,7.360000134,8.18999958,4090600
2021-12-06,10.55000019,10.55000019,11.14000034,9.020000458,10.14999962,773600
2021-12-13,10.0,10.0,10.85000038,9.520000458,10.55000019,363700
2021-12-20,8.25,8.25,10.10999966,7.840000153,10.10999966,317400
2021-12-27,6.400000095,6.400000095,8.239999771,6.019999981,8.239999771,254900
2022-01-03,6.929999828,6.929999828,7.760000229,6.480000019,6.570000172,190800
2022-01-10,7.599999905,7.599999905,8.390000343,6.599999905,6.630000114,106100
2022-01-17,6.40500021,6.40500021,7.789999962,6.21999979,7.789999962,75200
2022-01-24,7.78000021,7.78000021,8.0,5.824999809,6.010000229,121100
2022-01-31,8.140000343,8.140000343,8.647000313,7.589000225,7.860000134,43400
2022-02-07,8.569999695,8.569999695,8.890000343,7.989999771,8.109999657,112600
2022-02-14,8.5,8.5,9.149999619,8.255000114,9.149999619,38100
2022-02-21,7.320000172,7.320000172,8.739999771,6.880000114,8.350000381,32200
2022-02-28,6.170000076,6.170000076,7.320000172,6.054999828,7.320000172,20300
2022-03-07,3.799999952,3.799999952,6.050000191,3.563999891,6.050000191,180600
2022-03-14,3.970000029,3.970000029,4.486999989,3.700000048,3.950000048,147800
2022-03-21,5.099999905,5.099999905,6.659999847,3.910000086,3.910000086,220000
2022-03-28,5.670000076,5.670000076,5.679999828,5.010000229,5.03000021,55800
2022-04-04,8.18999958,8.18999958,9.770000458,5.736999989,5.789999962,596100
2022-04-11,7.190000057,7.190000057,8.479999542,7.170000076,8.350000381,188700
2022-04-18,8.380000114,8.380000114,8.890000343,6.914999962,7.619999886,54700
2022-04-25,7.25,7.25,9.218999863,6.821000099,8.220000267,88100
2022-05-02,7.5,7.5,8.329999924,6.639999866,7.110000134,210000
2022-05-09,7.53000021,7.53000021,7.989999771,5.840000153,7.320000172,327200
2022-05-16,5.039999962,5.039999962,7.269999981,4.730000019,7.050000191,391400
2022-05-23,4.550000191,4.550000191,5.130000114,4.099999905,4.75,211200
2022-05-30,5.099999905,5.099999905,5.400000095,4.550000191,4.710000038,448200
2022-06-06,4.650000095,4.650000095,5.752999783,4.370999813,5.199999809,555500
2022-06-13,3.859999895,3.859999895,4.820000172,3.700000048,4.53000021,239300
2022-06-20,4.829999924,4.829999924,5.360000134,3.940000057,3.940000057,319400
2022-06-27,4.5,4.5,5.764999866,4.21999979,4.71999979,193700
2022-07-04,4.849999905,4.849999905,5.449999809,4.320000172,4.320000172,92200
2022-07-11,4.199999809,4.199999809,5.119999886,4.170000076,4.789999962,170100
2022-07-18,4.28000021,4.28000021,5.090000153,4.079999924,4.449999809,218600
2022-07-25,3.869999886,3.869999886,5.0,3.5,4.199999809,299000
2022-08-01,4.119999886,4.119999886,4.474999905,3.609999895,4.110000134,220600
2022-08-08,3.940000057,3.940000057,4.309999943,3.730000019,4.309999943,99400
2022-08-15,3.549999952,3.549999952,4.659999847,3.549999952,4.0,239900
2022-08-22,3.720000029,3.720000029,3.799999952,3.400000095,3.720000029,196200
2022-08-29,3.220000029,3.220000029,4.679999828,3.019999981,3.805999994,269100
2022-09-05,3.019999981,3.019999981,3.440000057,2.849999905,3.390000105,236500
2022-09-12,3.13499999,3.13499999,3.200000048,2.779999971,3.130000114,198500
2022-09-19,2.569999933,2.569999933,3.230000019,2.519999981,3.200000048,167400
2022-09-26,2.710000038,2.710000038,3.00999999,2.460000038,2.559999943,136100
2022-10-03,2.549999952,2.549999952,3.119999886,2.539999962,2.640000105,112300
2022-10-10,2.380000114,2.380000114,2.680000067,2.220000029,2.680000067,130300
2022-10-17,2.339999914,2.339999914,2.786999941,2.299999952,2.380000114,1773500
2022-10-24,2.410000086,2.410000086,2.653000116,2.319999933,2.380000114,56400
2022-10-31,2.299999952,2.299999952,2.660000086,2.150000095,2.440000057,332000
