Date,Adj Close,Close,High,Low,Open,Volume
2021-07-12,24.10000038,24.10000038,24.76000023,19.37000084,22.5,4153100
2021-07-19,21.12999916,21.12999916,23.60000038,18.42000008,23.60000038,1462400
2021-07-26,22.19000053,22.19000053,24.75499916,20.18000031,21.12999916,860500
2021-08-02,23.35000038,23.35000038,27.04000092,22.06999969,22.45999908,854600
2021-08-09,18.95999908,18.95999908,24.42499924,17.80999947,23.02000046,973200
2021-08-16,22.37000084,22.37000084,22.48999977,17.53000069,19.15999985,735300
2021-08-23,20.29999924,20.29999924,23.0,20.0,22.37999916,724900
2021-08-30,19.12000084,19.12000084,21.14800072,18.53000069,20.21999931,613400
2021-09-06,20.92000008,20.92000008,22.14999962,19.15999985,19.15999985,655000
2021-09-13,20.12999916,20.12999916,21.48999977,19.25,21.13999939,2223600
2021-09-20,18.21999931,18.21999931,20.45999908,17.12000084,20.0,1237200
2021-09-27,18.43000031,18.43000031,19.20999908,17.62000084,17.92000008,330100
2021-10-04,18.45000076,18.45000076,18.73999977,16.89999962,18.36000061,755900
2021-10-11,16.81999969,16.81999969,18.67000008,16.34000015,18.67000008,335400
2021-10-18,19.90999985,19.90999985,20.52000046,16.80999947,16.80999947,504400
2021-10-25,20.38999939,20.38999939,20.47999954,18.42000008,19.75,328700
2021-11-01,21.79999924,21.79999924,22.70999908,19.84000015,20.03000069,183700
2021-11-08,17.22999954,17.22999954,22.5,16.38999939,21.69000053,373500
2021-11-15,15.98999977,15.98999977,17.79800034,15.5,17.23999977,525600
2021-11-22,13.14999962,13.14999962,16.55999947,12.56999969,16.10000038,334400
2021-11-29,11.77000046,11.77000046,13.52999973,11.58500004,13.03999996,484400
2021-12-06,9.409999847,9.409999847,12.0,9.06000042,11.82999992,1017800
2021-12-13,11.22999954,11.22999954,11.72500038,9.039999962,9.520000458,1480400
2021-12-20,11.34000015,11.34000015,12.43999958,9.710000038,11.09000015,875500
2021-12-27,10.64000034,10.64000034,11.25,9.18500042,11.25,526900
2022-01-03,9.140000343,9.140000343,11.34000015,9.0,10.64999962,382600
2022-01-10,7.28000021,7.28000021,9.109999657,6.389999866,9.0,1877900
2022-01-17,6.940000057,6.940000057,7.954999924,6.769999981,7.079999924,954500
2022-01-24,6.5,6.5,7.699999809,6.25,6.829999924,659000
2022-01-31,7.260000229,7.260000229,7.829999924,6.420000076,6.610000134,771300
2022-02-07,7.820000172,7.820000172,8.710000038,7.164999962,7.409999847,776300
