Date,Adj Close,Close,High,Low,Open,Volume
2019-06-17,27.29000092,27.29000092,30.13999939,23.37999916,27.20999908,7330800
2019-06-24,29.17000008,29.17000008,31.75600052,24.65999985,26.95999908,1431900
2019-07-01,28.0,28.0,30.30999947,27.03499985,29.88999939,659700
2019-07-08,26.97999954,26.97999954,29.0,26.45000076,28.28000069,1016900
2019-07-15,23.45000076,23.45000076,28.68000031,22.84000015,27.20000076,545900
2019-07-22,23.88999939,23.88999939,25.86000061,22.01000023,23.29000092,437200
2019-07-29,26.35000038,26.35000038,26.98999977,22.92000008,23.68000031,391400
2019-08-05,28.78000069,28.78000069,29.56900024,24.81999969,25.98999977,461700
2019-08-12,30.87000084,30.87000084,32.4280014,25.92000008,28.82999992,712400
2019-08-19,31.81999969,31.81999969,34.70999908,29.42000008,30.88999939,434500
2019-08-26,37.43999863,37.43999863,38.43000031,31.70000076,31.89999962,718400
2019-09-02,35.54999924,35.54999924,39.04000092,34.86000061,37.75999832,825400
2019-09-09,26.59000015,26.59000015,35.70999908,25.59000015,35.70999908,1138200
2019-09-16,23.11000061,23.11000061,27.29999924,21.26600075,26.40999985,2585500
2019-09-23,20.53000069,20.53000069,25.88999939,19.20999908,23.13999939,1357000
2019-09-30,21.77000046,21.77000046,22.87000084,19.9279995,20.45999908,584800
2019-10-07,20.89999962,20.89999962,22.10000038,19.22500038,21.69000053,546800
2019-10-14,22.30999947,22.30999947,23.17000008,20.02599907,20.86000061,362300
2019-10-21,24.93000031,24.93000031,25.31999969,21.55999947,22.42000008,518700
2019-10-28,28.70999908,28.70999908,30.0,24.45999908,25.14999962,767900
2019-11-04,29.87000084,29.87000084,31.86000061,27.27000046,29.44000053,722600
2019-11-11,23.31999969,23.31999969,31.36000061,23.19000053,29.79000092,698900
2019-11-18,22.48999977,22.48999977,24.43000031,22.15999985,23.29000092,522200
2019-11-25,24.5,24.5,25.31999969,22.04000092,22.56999969,472200
2019-12-02,28.97999954,28.97999954,29.25,23.29999924,24.54000092,750900
2019-12-09,24.15999985,24.15999985,30.55500031,22.59000015,28.97999954,749500
2019-12-16,29.34000015,29.34000015,29.94000053,23.21999931,24.57999992,1129500
2019-12-23,26.57999992,26.57999992,29.76000023,26.25,29.43000031,513500
2019-12-30,25.02000046,25.02000046,29.57999992,24.93000031,26.61000061,541500
2020-01-06,25.32999992,25.32999992,27.15600014,24.07500076,25.0,783500
2020-01-13,23.54999924,23.54999924,25.34000015,23.05999947,25.34000015,444700
2020-01-20,23.65999985,23.65999985,25.79999924,23.06999969,23.70000076,809900
2020-01-27,27.95999908,27.95999908,31.09000015,23.12000084,23.72999954,1423400
2020-02-03,28.04000092,28.04000092,30.03700066,27.0,28.75,479100
2020-02-10,26.88999939,26.88999939,34.68999863,26.55999947,30.01000023,1165900
2020-02-17,27.44000053,27.44000053,29.24500084,26.3220005,27.0,510500
2020-02-24,24.75,24.75,26.88500023,21.27000046,26.56999969,681600
2020-03-02,25.35000038,25.35000038,28.60000038,24.39500046,25.31999969,1163200
2020-03-09,21.31999969,21.31999969,24.62000084,15.81999969,22.56999969,1650500
2020-03-16,22.20999908,22.20999908,23.5,16.01000023,16.31999969,2499200
2020-03-23,21.70000076,21.70000076,22.71999931,17.54999924,22.65999985,1480000
2020-03-30,21.0,21.0,22.98999977,20.01000023,22.51000023,926500
2020-04-06,21.75,21.75,22.95999908,21.13999939,22.38999939,931300
2020-04-13,22.82999992,22.82999992,23.5,21.01000023,21.72999954,1144800
2020-04-20,22.73999977,22.73999977,22.94499969,20.20000076,22.60000038,496600
2020-04-27,20.26000023,20.26000023,24.0,19.0,23.15999985,417000
2020-05-04,23.10000038,23.10000038,23.65500069,20.02000046,20.21999931,401600
2020-05-11,24.87999916,24.87999916,25.86000061,22.27000046,22.75,621300
2020-05-18,29.72999954,29.72999954,30.38999939,26.02000046,26.12999916,438500
2020-05-25,27.65999985,27.65999985,30.04000092,24.89999962,30.0,394500
2020-06-01,24.64999962,24.64999962,27.98999977,24.26000023,27.97999954,556800
2020-06-08,22.54000092,22.54000092,27.30900002,22.25,25.20999908,654800
2020-06-15,23.17000008,23.17000008,24.20499992,22.0,22.37000084,1178100
2020-06-22,23.64999962,23.64999962,25.5,22.75,23.18000031,1461800
2020-06-29,23.02000046,23.02000046,24.12000084,22.79999924,24.07999992,444000
2020-07-06,23.39999962,23.39999962,23.76499939,22.20000076,23.47999954,460400
2020-07-13,27.13999939,27.13999939,27.45999908,22.10000038,23.56999969,861300
